"label","actor"
"TGBS Token FlashLoan",-1
"Banana Swap",-1
"Fake PAPA Token Rugpull",-1
"Revest","revestfinance"
"SHIA Rugpull",-1
"Trade.io","tradeio"
"Team Finance","teamfinance"
"BONK Inu (Fake)",-1
"Empower AI Rug Pull",-1
"Tinyman","tinyman"
"BearnDAO Exploit","bearn"
"Mirror Protocol","mirror"
"Samudai Exploit",-1
"Inverse Finance (2)","inversefinancefrontier"
"SharkTron",-1
"Hachiko Rugpull",-1
"Fake Celestia Token Rugpull",-1
"Neutrino USD (Neutrino Index Token)","neutrino"
"Curve.Finance","curve"
"FEGToken","fegex"
"PIPI Token Rugpull","pippi"
"PARALUNI","paralunidex"
"Yapizon",-1
"Galaxy Fox Token Exploit",-1
"PolBase Cash",-1
"MerchDAO",-1
"Treasure Swap",-1
"Bogged Finance","boggedfinance"
"Shadetech",-1
"mCoin",-1
"Fintoch",-1
"Multichain","multichain"
"Custom Lending Pool Exploit",-1
"Vanity address exploit",-1
"Soft Yearn Finance",-1
"Rodeo Finance Exploit",-1
"Crema Finance","cremafinance"
"EarnHub",-1
"Poolz Finance",-1
"PolyButterfly",-1
"Orbit Bridge Exploit","orbitbridge"
"Umbrella Network (2)","umbrella"
"MTDAO",-1
"Nebula Revelation Exploit",-1
"PREMINT | NFT",-1
"Speadefi Exploit",-1
"SushiSwap (2)","sushiswap"
"CIRCLE fake token rug pull","circle"
"Carson Flash Loan Attack",-1
"Binance","binance"
"Massive Phishing Attack",-1
"Value DeFi","valueliquid"
"AI C-3PO Token Rug Pull",-1
"Fake EigenLayer Token Rugpull",-1
"Fake zkSync Rugpull",-1
"IRA Financial",-1
"BT.Finance","btfinance"
"UniBot Exploit",-1
"Themis Protocol",-1
"Fairmoon",-1
"URF Token Rug Pull",-1
"Dragoma",-1
"Condom token Rug Pull",-1
"Biki","biki"
"Nft Trader Reentrancy Attack",-1
"Safe Moon",-1
"Safuu Protocol",-1
"Layer2DAO",-1
"AlphaPo",-1
"ZBExchange","zbcom"
"TopGoal",-1
"PancakeSwap (2)","pancakeswapnew"
"Nikhil Gopalani Wallet",-1
"Bitcoin Norway",-1
"MonoX","monox"
"BitConnect",-1
"BadgerDAO","badger"
"Bloom exploit on Blast",-1
"EraLend Exploit",-1
"TEDDY DOGE","teddycash"
"Grim Finance","grimfinance"
"Bitcoin Sheikh",-1
"Moola Market","moolamarket"
"Blueberry's Protocol Exploit",-1
"YFFS Finance",-1
"Horizon by Harmony",-1
"Vires Finance","viresfinance"
"XYearn",-1
"Mother",-1
"Helio Protocol Rugpull","helioprotocol"
"TECRA",-1
"Fake Friend Tech Rugpull",-1
"ELongD Token Rugpull",-1
"Doglands",-1
"Artificial intelligence robot",-1
"Monkey Kingdom",-1
"Utopia Exploit",-1
"XAI Token Rugpull",-1
"MoltenSwap",-1
"Freeway",-1
